Original feature,Chandan rename
"Age at diagnosis, years (A)",Age
"Age at phototherapy initiation, hours",Age
Age in months,Age
Age in years,Age
Age range,Age
Age ≤21 days,Age
Age ≤50 years,Age
Age ≥ 60 years,Age
Age ≥ 75 years,Age
Age ≥18,Age
Age ≥50,Age
Age ≥55,Age
Age ≥60 years,Age
Age ≥65,Age
Age ≥65 years,Age
"Age ≥65 years, extremity paresthesias, or dangerous mechanism",Age
Age ≥70 years,Age
Age ≥75 years,Age
Age ≥80,Age
"Age, days",Age
"Age, months or years",Age
"Age, years",Age
Agitation,
Agnosia,
Air entry,
Airway status,
Alanine aminotransferase,
Albumin,
Albumin &lt;3.5 g/dL (35 g/L),Albumin
Albumin <3 g/dL (30 g/L),Albumin
Albumin <3.2 g/dL (32 g/L),Albumin
Albumin concentration of ascitic fluid,Albumin
Albumin concentration of serum,Albumin
Albumin lab value available,Albumin
Albumin level,Albumin
Alcohol abuse,
Alcohol or drug intoxication,
Alcohol use,
Alertness,
Alkaline phosphatase less than upper limit of normal,
Alopecia,
Alpha fetoprotein (AFP),
Alpha fetoprotein L3 (AFP-L3),
Already known thrombophilic condition,
Already on antiplatelet therapy,
Alteration in mental status,
Altered level of alertness,
Altered level of consciousness present,Level of consciousness
Altered level of responsiveness,
Altered mental status,
"Altered mental status (disorientation, lethargy, stupor, or coma)",Altered mental status
Alternating constipation and diarrhea,
Alternative diagnoses excluded (by ≥3 biological investigations),
Alternative diagnosis to DVT as likely or more likely,
Ambitendency,
Ambulation,
Amnesia >5 min,
Amniotic fluid volume (AFV),
Amount ingested,
Amyloid PET: increased tracer retention,
An infant who is <5 months of age when the symptoms start and stop,Age
"Anal fissure, fistula, or abscess",
Anal fissures,
"Anaphylaxis or angioedema
OR
Severe cutaneous adverse reaction",
Anatomical site of surgery,
Anemia,
Angina index,
Angina or dyspnea,
Ankle edema,
Ann Arbor stage III-IV,
Anorexia,
Another central venous catheter present,
Anterior MCA cortex (M1),
Anterior ST Elevation or LBBB,
Anterior cortex immediately rostral to M1 (M4),
Anterior/posterior,
Anti-CCP antibodies,
Anti-Sm,
Anti-diarrhea drug use,
"Anti-dsDNA above laboratory reference range, except ELISA (2x above laboratory reference range)",
Antibiotic use within 60 days,
Antibiotics given in conventional dosage for proven/suspected streptococcal episodes,
Anticoagulation/antiplatelet medications,
Antiphospholipid antibody,
Anxiety,
Anxiety (feeling nervous),Anxiety
Anxiety or irritability,Anxiety
Any ICD-9 coded procedure performed during hospital stay,
Any Prior Hemorrhage Diagnosis,
Any Supplemental Oxygen,
Any active anticoagulant use (even with INR <1.7),INR
Any cerebrovascular disease,
Any high risk condition,
Any high risk exam feature,
Any high risk pain feature,
Any history of inflammatory back pain,
Any hospitalizations within 6 months,
Any loose or watery stools,
Any new visual field defect,
Any nodal or extranodal tumor mass >7 cm diameter,
Any prior VTE,
Any sign of basal skull fracture,
Any sign of basilar skull fracture?,
Any signs of aspiration during 3 oz water test,
Any sweating,
"Any vomiting, retching, or gagging",Nausea/vomiting
Aortic incompetence,
Aortic vascular,
Aortic vegetation,
Aphasia,
Aphthous ulcers,
Apparent sadness,
Appearance/color,
Arcus cornealis at age &lt;45 years,Age
Are both digits equally clear?,
Are dentures usually worn?,
Are there indications for antivenom?,
Are there signs of envenomation?,
Are they violently and constantly jealous of you?,
"Are you afraid of your partner or any one of the following: husband/wife, ex-husband/ex-wife, boyfriend/girlfriend, stranger?",
Areas of lymphadenopathy,
Arising,
Arm claudication,
Arm drift,
Arm motor impairment,
Arm weakness,
Arrest disorder for previous cesarean delivery,
Arterial pH &lt;7.30,Arterial pH <7.30
Arterial pH < 7.30,
Arterial pO2 &lt;60 mmHg within 48 hours,Arterial pO2 <60 mmHg within 48 hours
Arthralgia,
Arthritis,
Arthritis (monoarthritis or polyarthritis; polyarthralgia),
Arthritis (polyarthritis only),
Arthritis/arthralgias,
Ascites,
Asian-American sub race,Race/Ethnicity
Ask patient age and current month,Age
Ask patient similarity between train and bicycle (e.g. both are modes of transportation),
Ask patient similarity between watch and ruler (e.g. both are measuring tools),
"Ask patient the date, month, year, day, place, and city",
Ask patient to close eyes and open/close hand,
Ask patient to copy cube,
"Ask patient to do five serial 7 subtractions starting at 100; patient should say 93, 86, 79, 72, 65",
Ask patient to draw a clock (ten past eleven),
Ask patient to name maximum number of words in 1 minute that begin with the letter F,
Ask patient to name the first animal,
Ask patient to name the second animal,
Ask patient to name the third animal,
"Ask patient to rate how well they are doing in the past week considering all the ways their disease affects them on a scale of 0-10, where 10 is the worst",
"Ask patient to rate pain on a scale of 0-10, where 10 is the worst pain imaginable",
"Ask patient to recall the words with no cue from the memory test previously conducted (""Face"", ""Velvet"", ""Church"", ""Daisy"", ""Red"")","Ask patient to recall the words with no cue from the memory test previously conducted (Face, Velvet, Church, Daisy, Red)"
Ask patient to trace the diagram in order,
"Ask the patient: Considering all the ways arthritis affects you, how well are you doing?",
"Ask the patient: considering all the ways arthritis affects you, how well are you doing?",
"Ask the patient: how difficult have these problems made it to do work, take care of things at home, or get along with other people?",
Ask to recall address given earlier,
Aspartate aminotransferase (AST),AST
Aspiration,
Aspirin use in past 7 days,
Assessment requiring and independent historian,
Associated diseases,
Associated genitalia and perineal injury,
Associated intraperitoneal abdominal injury,
Associated pelvic ring injury,
Associated segmental injury  (presence of potentially viable tissue distal to the most proximal injury),
Associated upper limb injury,
Associated with a change in stool form (appearance),
Associated with a change in stool frequency,
Asthma Control Questionnaire-5 (ACQ-5) Score,
Asymmetric,
Asymmetric arm weakness,
Asymmetric facial weakness,
Asymmetric leg weakness,
Asymptomatic on presentation,
"At least two of: edema, infiltration, purpura, scaling",
Atmospheric pressure,
Atrial fibrillation,
Atrial fibrillation on ECG,ECG
Atrial fibrillation present,Atrial fibrillation
Atrioventricular dissociation,
Attention,
Atypical lymphocytes,
Auditory disturbances,
Auscultation,
Automatic obedience,
Autonomic abnormality,
Autonomic prodromes,
Average alcohol intake,
"Avoidance of (or efforts to avoid) distressing memories, thoughts, or feelings about or closely associated with the traumatic event",
"Avoidance of (or efforts to avoid) external reminders (e.g. people, places, conversations, activities, objects, situations) that arouse distressing memories, thoughts, or feelings about or closely associated with the traumatic event",
Aware of surroundings,
B. Biopsy-proven bony or extramedullary plasmacytoma,
BMI,
BMI (kg/m²),BMI
BMI <20.5 kg/m²,BMI
BMI >25,BMI
BMI ≥28,BMI
BMI ≥30 kg/m²,BMI
BMI ≥35 kg/m²,BMI
"BMI, kg/m2",BMI
"BMI, kg/m²",BMI
BNP Level ≥300 pg/ml,
"BNP, pg/mL",
BP ≥ 140/90 mmHg,
BUN,
BUN &ge;25 mg/dL (8.9 mmol/L),BUN
BUN &ge;30 mg/dL or &ge;11 mmol/L,BUN
BUN &gt;19 mg/dL (&gt;7 mmol/L urea),BUN
BUN &gt;30 mg/dL (&gt;10.7 mmol/L),BUN
BUN >25 mg/dL (8.92 mmol/L),BUN
BUN >44.8 mg/dL (serum urea >16 mmol/L),BUN
BUN increase &gt;5 mg/dL (&gt;1.79 mmol/L) from admission,BUN
BUN or serum urea,BUN
BUN ≥ 43 mg/dL (15.35 mmol/L),BUN
"BUN, mg/dL or serum urea, mmol/L",BUN
"BUN, serum",BUN
B[I]RDs,
Back pain,
Back pain ≥3 months and age at onset <45 years,Age
Bacteremia,
"Band neutrophils ≤1,500/mm³ (≤1.5 × 10⁹/L)",
Base Excess,
Base deficit,
Base deficit (24 - HCO3) &gt;4 mg/dL within 48 hours,Base deficit (24 - HCO3) >4 mg/dL within 48 hours
Baseline NIH Stroke Scale,NIH Stroke Scale
Baseline creatinine,
Bathing,
Bazett-corrected QT interval,
Becoming easily annoyed or irritable,
Bedridden recently >3 days or major surgery within 12 weeks,
"Been constantly on guard, watchful, or easily startled?",
Behavior,
Behavior (B),
Being admitted for acute myocardial infarction,
Being admitted for heart failure,
Being admitted for sepsis,
Being so restless that it's hard to sit still,
Bend down to pick up clothing from floor,
Beneprotein,
Best eye response,
Best motor response,
Best verbal response,Verbal response
Beta blocker,
Bicarbonate,
Bicarbonate infusion before ECMO,
"Bicarbonate, mEq/L",
Bilateral bulbar conjunctival injection without exudate,
Bilateral lesions,
Biliary,
Biliary dilatation,Biliary
Biliary pain,Biliary
Bilirubin,
Bilirubin (Total),Bilirubin
Bilirubin (day 7),Bilirubin
Bilirubin (initial),Bilirubin
"Bilirubin, mg/dL (&mu;mol/L)",Bilirubin
Binge eating episodes per week,
Biopsy suggesting DRESS,
Biopsy-proven nephritis compatible with SLE,
Bizarre often multilobed nuclei and/or spindle cells,
Black race,Race/Ethnicity
Bladder control,
Bleeding,
Bleeding disorder,
Bleeding history,
Bleeding in 3 months before admission,
Blood cultures positive for endocarditis,
Blood in stool,
Blood in stools,Blood in stool
Blood pressure being treated with medicines,
Blood sugar,
Blunted affect,
Body language,
"Body mass index (BMI), kg/m2",BMI
Body movements,
Body position,
"Body temperature, &deg;C (&deg;F)",
Bolus dose,
Bone lesions,
Bone marrow plasma cell percentage,
Bone marrow plasmacytosis,
Bone or joint aches,
Bone tenderness at A,
Bone tenderness at B,
Bone tenderness at C,
Bone tenderness at D,
Born at term (≥37 weeks gestation),
"Bothersome (i.e., severe enough to impact on usual activities) belching from the esophagus more than 3 days a week",
"Bothersome (i.e., severe enough to impact on usual activities) belching from the stomach  more than 3 days a week",
"Bothersome (i.e., severe enough to impact on usual activities) nausea, occurring at least 1 day per week and/or ≥1 vomiting episodes per week",Nausea/vomiting
Bothersome (severe enough to interfere with normal activities) pain or burning localized to the epigastrium,
Bothersome early satiation,
Bothersome epigastric burning,
Bothersome epigastric pain,
Bothersome epigastric pain and burning ≥1 day/week,
"Bothersome nausea as the predominant symptom, occurring ≥2 times per week, and generally not related to meals",
Bothersome postprandial fullness,
Bothersome postprandial fullness or early satiation that prevents finishing a regular meal,
Bothersome postprandial fullnesss and early satiation ≥3 days/week,
Bowel and bladder,
Bowel control,
Bowel movements per day,
"Bowel symptoms not attributable to an organic etiology that do not meet criteria for IBS or functional constipation, diarrhea, or abdominal bloating/distention disorders",
Brachial pulse loss (left),Heart rate
Brachial pulse loss (right),Heart rate
Bradycardia,
Bradykinesia of hands,
Brainstem,
Brainstem reflexes,
Breathing (independent of vocalization),
Breathlessness,
Bronchial pleural fistula,
Bronchoscopic findings,
"Bruise, swelling or laceration >5 cm (if <1 year old)",
Bruits,
Builds up to a steady level and lasting 30 minutes or longer,
Burden of illness (symptom severity),
Burning retrosternal discomfort or pain,
C,
C frequency,
C(w),
C(w) frequency,
C-reactive protein,
C-reactive protein &gt;190 mg/L,C-reactive protein
C-reactive protein (CRP),C-reactive protein
"C-reactive protein level, mg/L",C-reactive protein
"C-reactive protein, IU/L",C-reactive protein
C0: Cardiac pathology not detected or not suspected,
C1: Potentially causal,
"C2: Causal link is uncertain (one of the following, regardless of stroke pattern)",
C3: Causal link unlikely but disease is present (one of the following abnormalities present in isolation),
C9: Incomplete workup,
CA by iFISH,
CCS class 4,
CD3+ infusion dose,
CD4 count,CD4
CD4⁺ <200 cells/µL,CD4
CFS Score,
CHF,
CHF history,CHF
CHF or LVEF <30%,CHF
CNS dysfunction,
COPD,
COPD history,
CRP,C-reactive protein
"CRP >20 mg/L or ANC >10,000/mm3",C-reactive protein
"CRP level, mg/L",C-reactive protein
"CSF ANC ≥1,000 cells/µL",
CSF Gram stain positive,
CSF mononuclear cells,
CSF protein ≥80 mg/dL (800 mg/L),
CSF: decreased Aβ1-42 and increased P-tau or T-tau,
CT Slice Thickness,
CT shows multilobar infarction (hypodensity >1/3 cerebral hemisphere),
CTAS Triage Scale (for ED patients),
CTCAE for diarrhea,
CVA or TIA,
Ca &lt;8 mg/dL (&lt;2 mmol/L) within 48 hours,Ca <8 mg/dL (<2 mmol/L) within 48 hours
Calcium,
Calcium <8 mg/dL (2 mmol/L),Calcium
Calcium >10mg/dL (>2.5 mmol/L),Calcium
Calf pain and/or unilateral lower limb edema,
Calf swelling >3 cm compared to the other leg,
Cam morphology,
Canadian Triage Acuity Scale (5 level ED triage) available?,
Cancer,
Cancer history,
Cancer stage,
Cancer therapy,
Cancer type,
Cardiac,
Cardiac arrest at admission,
Cardiac arrest before ECMO,
Cardiac arrhythmia,
Cardiac comorbidity,
Cardiac disease,
Cardiac failure,
Cardiac failure present,
Cardiogenic shock,
Cardiomegaly,
Cardiomyopathy/cardiac failure,
Cardiopulmonary bypass within previous 96 hours,
Cardiovascular,
Cardiovascular disease history,
Cardiovascular disease in clinical history,
Cardiovascular dysfunction,
Cardiovascular dysfunction OR ARDS OR ≥ 2 other organ dysfunction,
Cardiovascular dysfunction despite adequate fluid resuscitation,
"Cardiovascular: anaphylactic shock, mixed and undefined shock",
"Cardiovascular: hypovolemic hemorrhagic shock, hypovolemic non-hemorrhagic shock",
Cardiovascular: septic shock,
Carditis (clinical and/or subclinical),
Carotid bruit (left),
Carotid bruit (right),
Carotid pulse loss (left),Heart rate
Carotid pulse loss (right),Heart rate
Carotidodynia,
Caudate (C),
Central nervous system,
Central nervous system effects,
Central venous catheter,
Cerebellar,
Cerebral,
Cerebral or peripheral emboli,
"Cerebrovascular accident (i.e., stroke)",
Cerebrovascular disease,
Cerebrovascular disease history,
Cervical Dilation,
Cervical Length,
Cervical dilation ≥ 4 cm at admission,
Cervical effacement at admission,
Cervical lymphadenopathy,
Cervical lymphadenopathy (tender or enlarged (>2 cm) lymph nodes),
Changes in lips and oral cavity,
Charlson Comorbidity Index,
Charlson Score,
Charlson-Deyo score,
Chemical health risk,
Chemotherapy,
Chemotherapy risk,
"Chest XR shows bilateral opacities not fully explained by effusions, lobar/lung collapse, or nodules",
Chest discomfort feels like “pressure”,
Chest pain,
Chest pain AND acute dyspnea,
Chest pain related to effort,
Chest tightness,
Chest wall retractions,
"Chest wall, sternum, thoracic spine, or scapular tenderness",
Chest worst injury?,
Chest x-ray,
Child-Pugh grade,
Children &lt;18 years with known LDL &gt;95th percentile for age and sex,Age
Children with certain underlying conditions,
Chloride,
Choose available data,
Chorea,
Chronic HF (NYHA IV),NYHA
Chronic cutaneous lupus,
Chronic disease,
Chronic kidney disease,
Chronic liver disease,
Chronic lung disease,
Chronic neurologic disease,
Chronic or frequently recurring abdominal pain (occurs most days) that is treated with acute high-dose or chronic narcotics,Abdominal pain
Chronic or recurrent rectal pain or aching,
Chronic pulmonary disease,
"Chronic pulmonary disease (e.g., COPD, emphysema)",
Chronic pulmonary dysfunction,
Chronic renal failure,
Chronic respiratory disease,
Chronic venous insufficiency,
Cigarette smoking,
Circulating blasts,
Circumferential extent of BE above the GE Junction (C value),
Cirrhosis,
Classification,
Claudication,
Climb a flight of stairs or walk up a hill,
Climb up five steps,
Climbing stairs,
Clinical diagnosis of ischemic stroke causing neurological deficit,
Clinical features of the TIA,
Clinical presentation suggests subarachnoid hemorrhage,
Clinical signs and symptoms of DVT,
Clinical signs of DVT,
Clinical signs of skull fracture,
Clinical stage,
Clinically Unstable Pelvic Fracture,
Clinically-overt pulmonary embolism,
Clonal bone marrow plasma cells ≥60%,
Closest degree relative with confirmed FH diagnosis,
Coagulopathy,
Cognitive fluctuations,
Cognitive impairment since childhood,
Collateral (nonvaricose) superficial veins present,
Collection efficiency,
Combativeness,
Combined number of errors to questions and commands >1,
Common bile duct diameter,
Communicates needs and wants,
Community affairs (CA),
Community or non-nosocomial health care associated acquisition,
Comorbidities,
Comorbitities (COPD or immunocompromised),
Complaint of abdominal pain,Abdominal pain
Compliance with mechanical ventilation,
Compliance with ventilator,
"Compliance, ml/cm H₂O",
"Compression syndrome (ureteral, orbital, gastrointestinal)",
Compression ultrasonography of symptomatic leg,
Concentration,
Concentration difficulty,
Conceptual disorganization,
Concordant ST depression > 1 mm in V1-V3,
Concordant ST depression ≥1 mm in V1-V3,
Concordant ST elevation > 1mm in leads with a positive QRS complex,
Concordant ST elevation ≥1 mm in leads with a positive QRS complex,
Confidence,
Confusion,
Confusion (new onset),
Confusion/orientation,
Congenital heart disease,
Congestive Heart Failure,Congestive heart failure
Congestive heart failure,
Congestive heart failure history,Congestive heart failure
Conjugate gaze deviation,
Connective tissue disease,
Consciousness,
Consciousness (GCS),Glasgow Coma Scale
Consistency,
Consolability,
