,CDI,CDI Purpose,,CDI Outcome,CDI Outcome Measure,Follow-up? (Y/N),Direct or Indirect?,Bucket?,Notes,Aaron,,Kenshata,,Working Examples for Buckets
1304,Pulmonary Embolism Severity Index (PESI),Mortality from PE.,1,identify prognosis for pulmonary embolism,"death from all causes within 30 days of hospitalization based on mortality data from National Death Index (Page 1041 Baseline Predictor Variables and Outcome Measures)

*follow-up involved (ONLY in external validation)",Y,Indirect,Death records,National Death Index to examine mortality,Y,Indirect,,,
1706,THRIVE Score for Stroke Outcome,Prognosis after stroke; incorporates NIHSS.,1,predict chronic disease outcomes after stroke treatment,"Primary outcomes were vessel recanalization and device-related complications. Secondary outcomes included modified Rankin Scale (mRS) with mRS score of 3-6 being poor outcome and National Institutes of Health Stroke Scale (NIHSS scores) with mild (<=10), moderate (11-20), and severe (>=20) at 30 and 90 days (Page 1193 - Patients and Techniques) 

""Successful recanalization was defined as achieving a Thrombolysis in Myocardial Infarction8 2 or 3 flow in all treatable vessels"" (Page 1193 - Patients and Techniques)

follow-up involved? (not explicit)",Y,Indirect,,,Y,Indirect,,,database
1718,ATRIA Bleeding Risk Score,Bleeding risk from warfarin.,1,risk stratification predicting warfarin-associated hemorrhage,"""major hemorrhages"" defined as fatal, requiring transfusion of >= 2 U packed blood cells, or hemorrhage into a critical anatomic site (e.g., intracranial, retroperitoneal) (Page 396 Major hemorrhage outcomes)

identified ICD-9 codes for extracranial hemorrhages (i.e., gastrointestinal, genitourinary, retroperitoneal) and primary and secondary diagnoses of intracranial hemorrhage, including intracerebral, subarachnoid, or subdural hemorrhages DURING OR WITHIN 5 days of preceding preceding warfarin exposure (Page 396 Major hemorrhage outcomes)

*follow-up involved",Y,Indirect,,,Y,Indirect,,,
1750,Geneva Score (Revised) for Pulmonary Embolism,Risk of PE.,1,predict PE,"PE diagnosed by 1) proximal DVT found on lower-limb ultrasonography, 2) a positive helical CT scan, 3) positive pulmonary angiogram in patients with high clinical probability, and 4) high-probability ventilation-perfusion lung scan in patients with inconclusive results on CT. Follow up for patients who met criteria for absence of pulmonary embolism and who were not receiving anticoagulant therapy.

*follow-up involved",Y,Direct,,,Y,Unclear,Y,Direct,jed said unclear
1752,HEART Score for Major Cardiac Events,6-week risk of cardiac event.,1,non-ST elevation acute coronary syndrome risk stratification,"A diagnosis of acute myocardial infarction (page 191 Abstract)

Endpoints in this study were acute myocardial infarction (AMI), percutaneous coronary intervention (PCI), coronary artery bypass graft (CABG) and death plus a combined endpoint of AMI, PCI, CABG and death. (Page 192 Endpoints)

*follow-up involved
",Y,Hybrid,Telephone and EMR,"All admission and follow-up data were retrieved from hospital charts. If follow-up data were lacking, patients were called at home to chek their condition.",Y,Hybrid,,,telephone and database
1756,Modified NIH Stroke Scale/Score (mNIHSS),"Shortened, validated version of the NIHSS.",1,modify NIHSS to reduce items of poor reliability,"In part I, rtPA activity (>=4-point improvement over baseline) was assessed 24 hours after stroke onset, but all end points were evaluated 90 days after stroke as well. Part II was a study of the rtPA treatment efficacy 90 days after stroke onset. In both parts, the NIHSS scores were collected at baseline, 2 hours after treatment onset, and 24 hours, 7 to 10 days, and 3 months after stroke onset. Lesion volumes were estimated from unenhanced CT scans obtained 3 months after stroke with quantitative volumetry. (Page 1311 Methods - Scale Derivation)

*follow-up involved",Y,Indirect,In-person,"In both parts, the NIHSS scores were collected at baseline, 2 hours after treatment onset, and 24 hours, 7 to 10 days, and 3 months after stroke onset. Lesion volumes were estimated from unenhanced CT scans obtained 3 months after stroke with quantitative volumetry. The details of the CT method will be the subject of another publication.",Y,Indirect,,,
1757,Opioid Risk Tool (ORT) for Narcotic Abuse,Risk of narcotic abuse/misuse.,1,predict abberant behavior in patients prescribed opioids,"Each risk factor was weighted and attributed a point value believed to reflect its risk relative to the other risk factors. This was carried out based on the authors’ personal clinical experience and a review of the literature on the best-known risk factors associated with abuse. These weights were derived entirely before any data used in this study were collected and were not modified after the study began. (page 433 Methods)

The aberrant behavior was documented in the chart by any member of the clinical staff after being observed directly, reported by the patient or a family member or detected by a lab test. This procedure was intended to minimize the authors’ subjective interpretation and bias in recording the behaviors (page 434 methods)

*follow-up involved",Y,Indirect,In-person,"All patients were monitored for aberrant behaviors for 12 months after their initial visits. The first author, also the clinic’s med- ical director, recorded each aberrant behavior as present when it was first documented in the patient’s medical chart. The aberrant behavior was documented in the chart by any member of the clinical staff after being observed directly, reported by the patient or a family member or detected by a lab test.",Y,Indirect,,,
1785,HEMORR<sub>2</sub>HAGES Score for Major Bleeding Risk,Bleeding risk in elderly AF.,1,predict hemorrhage in elderly patients with atrial fibrillation,"time to hospitalization for hemorrhage treatment (Page 715 outcomes assessment)

To improve sensitivity in identifying major bleeds and based on recent findings, we included ICD-9-CM codes for hemorrhage in any position, rather than only the primary one. (Page 715 outcomes asessment) 

*follow-up involved",Y,Indirect,EMR,"To obtain outcomes, reviewers linked abstractions of index hospitalizations to MEDPAR records and the denominator file of living Medicare beneficiaries. After linking follow-up data and removing identifiers, the QIOs sent the de-identified records to Washington University for inclusion into the NRAF data set.",Y,Indirect,,,
1789,HIT Expert Probability (HEP) Score for Heparin-Induced Thrombocytopenia,Likelihood of HIT.,1,predict heparin induced thrombocytopenia,"HIT laboratory testing with a polyspecific HIT ELISA and serotonin release assay (SRA) (Page 2642 - Summary)

*follow-up involved",Y,Hybrid,Telephone and EMR,Clinical information on each subject was collected by chart review and follow-up telephone interview 30 days after initial evaluation.,Y,Hybrid,,,
1842,ATRIA Stroke Risk Score,Stroke risk in Afib.,1,predict ischemic stroke and thromboembolism with atrial fibrillation,"Ischemic stroke was defined as sudden onset of a neurologic deficit lasting >24 hours and not attributable to other identifiable causes.13 Other thromboembolic events were considered valid if they met the following criterion: sudden occlusion of an artery to a visceral organ or extremity documented by imaging, surgery, or pathology and not attributable to concomitant atherosclerosis or other etiology. (Page 2 Outcome Event Identification)

*follow-up involved",Y,Indirect,EMR and hospitalization/billing claims database,"From the index date through August 31, 1999, we prospectively searched hospitalization and billing claims databases for discharge diagnoses indicating potential thromboembolic and outcome events. A total of 783 potential thromboembolic events were individually adjudicated by medical records review.

https://jamanetwork.com/journals/jama/fullarticle/197710",Y,Indirect,,,
1856,Vancouver Chest Pain Rule,2-hour rule out for low risk chest pain.,1,predict need for provocative cardiac testing for potential ischemic chest pain,"30-day ACS diagnosis

*follow-up involved",Y,Hybrid,Telephone,Research staff contacted patients via telephone to review medications and document physician or hospital visits that occurred within 30 days of the index ED visit.,Y,Hybrid,,,
1858,Emergency Department Assessment of Chest Pain Score (EDACS),"Identifies low risk chest pain, longer but more specific than HEART.",1,assess chest pain symptoms for early discharge,"major adverse cardiac event (MACE) defined as ST-elevation or non-ST-elevation MI, required emergency revascularisation procedure, had died of cardiovascular causes, and had suffered a ventricular arrhythmia, cardiac arrest, cariogenic shock or a high atrio-ventricular block within 30 days based on TELEPHONE CONTACT, review of patient hospital notes, and electronic health events. (Page 37 Outcome assessment)

*follow-up involved",Y,Hybrid,Telephone and EMR,"Patients were followed up to determine the occurrence of MACE within 30 days of presentation using the fol- lowing methods: telephone contact, review of patients’ hospital notes and an electronic health events search (which identifies any deaths).",Y,Hybrid,,,
1870,Confusion Assessment Method for the ICU (CAM-ICU),Monitors delirium in ICU patients.,1,detect delirium in high-risk settings,"The final diagnoses of the psychiatrist, as confirmed by follow-up medical record review, were the reference standard against which the CAM was assessed (Page 942 - Concurrent Validation - Procedure)",N,-,,"""follow-up medical record review"" has no baseline measurement. It is just checking the first diagnosis on EMR",N,-,,,
1875,Modified Early Warning Score (MEWS) for Clinical Deterioration,Severity screening of declining conditions.,1,identify medical patients at risk of catastrophic deterioration,"Death, intensive care unit (ICU) admission, high dependency (HDU) admission, cardiac arrest, survival and hospital discharge at 60 days. (Page 521 - Summary)

*follow-up involved",N,-,In-person,"Primary endpoints were HDU admission, ICU admission, attendance of the cardiac arrest team at a cardiorespiratory emergency and death at 60 days.",Y,Indirect,N,-,jed said yes - direct
1892,DRAGON Score for Post-TPA Stroke Outcome,Calculate before tPA; predicts long term outcome.,1,predict outcome of ischemic stroke patients receiving IV alteplase,"mRS score after 3 months. A good mRS score is defined as 0-2 (independence in activities of daily living). Poor outcome was defined as mRS score 3-6. Miserable outcome was defined as 5 (bedridden, incontinent, and requiring constant nursing care and attention), and 6 score (dead). (Page 428 - Methods)

*follow-up involved",Y,Direct,In-person,Pretreatment NIHSS score and 3-month mRS score were assessed by certified stroke neurologists.,Y,Direct,,,
2011,DASH Prediction Score for Recurrent VTE,Predicts likelihood of recurrence of first VTE.,1,predict disease recurrence in patients with previous unprovoked venous thromboembolism,Follow-up until symptomatic recurrent VTE; death from another cause; resumption of anticoagulant therapy for another reason; or the study ended (Page 1020 - Methods - Patient follow-up and outcomes),Y,Indirect,Database,We therefore undertook a meta-analysis of individual patient data derived from prospective studies that included patients with a first VTE who received conventional anticoagulant therapy and were followed for up to 5 years after treatment was stopped,Y,Indirect,,,
2022,POMPE-C Tool for Pulmonary Embolism Mortality,Mortality for cancer patients with PE.,1,predict mortality from pulmonary embolism with cancer,"Death within 30 days (Page 1 - Abstract Methods)

*follow-up involved",Y,Indirect,Database,From the data available in the PREVAIL data set,Y,Indirect,,,
2023,Padua Prediction Score for Risk of VTE,"Inpatient risk of VTE, need for anticoagulation.",1,"assess the adjusted hazard ratio (HR) of vote in high-risk patients who had adequate in-hospital thromboprophylaxis in comparison with those who did not, and that of VTE in the latter group in comparison with low-risk patients",Follow-up for up to 90 days to assess occurrence of symptomatic VTE complications (Page 2450 - Summary),Y,Direct,In-person,,Y,Direct,,,
2024,Lille Model for Alcoholic Hepatitis,Mortality in Alcoholic Hepatitis that's unresponsive to steroids.,1,generate a model to identify candidates for therapeutic strategies who have severe alcohol hepatitis that are treated with steroids,Follow-up for 6 month survival (Page 1349 - Patients and Methods Clinical and Biological Data),Y,Direct,In-person,"All patients were followed
for at least 6 months. For patients lost to follow-up
before 6months, data were censored at the last follow-up.",Y,Direct,,,
2030,HAT (Hemorrhage After Thrombolysis) Score for Predicting Post-tPA Hemorrhage,Hemorrhage risk after tPA.,1,predict risk of intracerebral hemorrhage after treatment with IV tissue-plasminogen activator (t-PA) in patients with ischemic stroke,Hemorrhages on follow-up MRI were identified as areas of susceptibility effect (signal loss; darkening) on T2* images. SICH in our patients was defined as ICH associated with an increase of >=4 points on the NIHSS score from baseline assessment. Hemorrhage with final fatal outcome (HFFO) refers to death during hospitalization after the development of ICH. (End of Page 1418 and mainly 1419 - Methods - scale development),Y,Indirect,Database,"We reviewed our prospectively collected stroke database from 2001 to 2007. We included consecutive patients with AIS, treated with IV t-PA within 3 hours from symptom onset according to the NINDS trials protocol and the American Stroke/Heart Association guidelines,17 Results of the official
neuroradiology report were used to determine the presence and extent of visible hypodensity on initial head CT scan and the presence vs absence of ICH on follow-up scans",Y,Indirect,,,
2044,STONE Nephrolithometry Score for Renal Calculi,"Predicts renal stone recurrence, after CT.",1,predict outcomes for percutaneous nephrolithotomy,"Score correlation with the stone-free rate (SFR). To assess for residual stones, intraoperative flexible nephroscope with fluoroscopy was performed in all patients to explore all chalices. Additionally, the stone-free status was assessed for all patients at the 3-month follow-up visit using renal ultrasonography (Page 1155 - Perioperative Data)",Y,Direct,In-person,"Additionally,
the stone-free status was assessed for all patients at the
3-month follow-up visit using renal ultrasonography.",Y,Direct,,,
2046,UCSF-CAPRA Score for Prostate Cancer Risk,Post-treatment outcomes for prostate cancer.,1,risk assessment for prostate cancer metastasis and mortality at diagnosis,"Death from prostate cancer listed as a primary, secondary, or tertiary cause of death and no other malignancy was listed as a higher order cause (end of Page 879 to 880 - Patients and Methods - Patient Cohort)

*follow-up involved",Y,Indirect,Database,"We studied 10 627 men with clinically localized prostate cancer in the Cancer of the Prostate Strategic
Urologic Research Endeavor registry, who underwent primary radical prostatectomy, radiation therapy
(external beam or interstitial), androgen deprivation monotherapy, or watchful waiting/active surveillance,
and had at least 6 months of follow-up after treatment.

If the patient has been lost to follow-up or a state death certifi cate is not available, the National Death Index is queried to identify date and cause of death. Additional details regarding CaPSURE ’ s methodology have been reported previously ( 10 , 11 ).",Y,Indirect,,,
2049,D'Amico Risk Classification for Prostate Cancer,Assesses 5 year failure of prostate CA treatment failure.,1,"estimate control of prostate-specific antigen after radical prostatectomy, external beam radiation therapy, or interstitial radiation therapy for clinically localized prostate cancer","Actuarial freedom from prostate-specific antigen (PSA) failure (Page 969 Main Outcome Measure)

*follow-up included",Y,Direct,In-person,"If the patient has been lost to follow-up or a state death certifi cate is not available, the National Death Index is queried to identify date and cause of death. Additional details regarding CaPSURE ’ s methodology have been reported previously ( 10 , 11 ).",Y,Direct,,,
2075,NEXUS Chest Decision Instrument for Blunt Chest Trauma,Blunt chest trauma decision making.,1,validate existing NEXUS chest decision instrument for chest imaging of blunt trauma patients with very low risk of thoracic injury,"Thoracic injury seen on chest imaging by pneumothorax, hemothorax, aortic or great vessel injury, 2 or more rib fractures, ruptured diaphragm, sternal fracture, and pulmonary contusion or laceration seen on radiiographs (Page 940 - Main Outcomes and Measures)

*follow-up involved",Y,Direct,Telephone,"we obtained written consent for telephone follow-up of
nonimaged blunt trauma patients dischargedfrom1 of theEDs.
We contacted these patients between 2 weeks and 3 months
ofEDdischargeandaskedthemwhether theyhadseen a health
care provider for chest injuries",Y,Direct,,,
2141,Kruis Score for Diagnosis of Irritable Bowel Syndrome (IBS),Diagnoses IBS.,1,create a scoring system for diagnosis of IBS,"The diagnostic accuracy of this simple adapted scoring system was compared with the extensive routine workup as listed in Table 1 (this included laboratory tests, endoscopy tests, ultrasonography, stool sample, lactose tolerance and small bowel biopsy for lactase activity, and thyroid panel) (Page 2 - Materials and Methods)

*follow-up involved",Y,Indirect,Unclear,"(not really related to study outcome though) Of the 108 IBS patients, 97 were followed for l-47 mo (median 4 mo).",Y,Indirect,,,
2143,Sokal Index for Chronic Myelogenous Leukemia (CML),CML survival.,1,determine prognosis in “good-risk” chronic granulocytic leukemia,"Determination of mortality through follow-up and the patient’s status at that time (alive, dead of leukemia, or dead of other cause) were recorded (Page 790 - Materials and Methods - Patients)",Y,Indirect,database,"This report is based on data submitted by cooperating investigatons for 813 nonblastic Ph’-positive patients. This clinical material was collected from 6 sources, over somewhat different time periods

Three serieshad a significant number of exclusions for incomplete work-up (including failure to obtain chromosome analysis) on follow-up.",Y, Indirect,,,
2153,Memorial Sloan-Kettering Cancer Center (MSKCC/Motzer) Score for Metastatic Renal Cell Carcinoma (RCC),Predicts survival in RCC patients.,1,prognostic factors and predict survival in patients with metastatic renal cell carcinoma (RCC),"time to progression after systemic therapy, and survival and current status were recorded. (Page 2531 Patients and Methods - patients) The endpoint of interest was survival time, defined as the time from treatment initiation to the death date or last follow-up date (Page 2531 Patients and Methods - survival analysis)",Y,Indirect,Database,"All patients were treated on MSKCC Institutional Review Boardapproved
clinical trials conducted between September 1975 and July
1996. The patients were identified through registration on 24 consecutive
MSKCC clinical trials;

MSKCC (memorial sloan kettering cancer center)",Y,Indirect,,,
2157,GAP Index for Idiopathic Pulmonary Fibrosis (IPF) Mortality,Staging and prognosis in IPF.,1,develop staging system for IPF,"mortality (Measurements Page 684)

*follow-up involved",Y,Indirect,Database,"Design: A clinical prediction model was developed and validated by using retrospective data from 3 large, geographically distinct cohorts.",Y,Indirect,,,
2175,Acute Gout Diagnosis Rule,Risk for gout.,1,study validity of gout diagnosis by physicians in primary care,"synovial fluid was aspirated from the affected joint of each patient and was microscopically analyzed to identify the presence of MSU crystals (Page 1121 - Procedures)

*follow-up involved",Y,Direct,In-person,"If MSU crystals were later identified during the follow-up period, the patient was then classified as having gout according to the reference test, with the initial falsenegative MSU test result changed to a positive result",Y,Direct,,,
2176,Disease Activity Score-28 for Rheumatoid Arthritis with ESR (DAS28-ESR),"RA severity, specifically based on ESR.",1,identify disease activity of rheumatoid arthritis,"Every six months plain anterior radiographs of the hands and feet were obtained (Assessments Page 917)

*follow-up involved",Y,Direct,In-person,"At the time of analysis
113 patients participated in the study and the
follow up ranged from two to 39 months
(number of check ups 1816).",Y,Direct,,,Looks good
2177,Clinical Disease Activity Index (CDAI) for Rheumatoid Arthritis,"RA Severity, clinical data only.",1,identify score for rheumatoid arthritis activity,"Radiographic data were available for the majority of the 80 patients in the inception cohort who were followed for 3 years (n=56) (Page 799 Construct Validity)

*follow-up involved
",Y,Indirect,Database,"One source of data employed was a large observational cohort of RA outpatients, who were seen on a regular basis, usually every 3 months.",Y,Indirect,,,Looks good
2193,Disease Activity Score-28 for Rheumatoid Arthritis with CRP (DAS28-CRP),"RA severity, specifically based on CRP.",1,identify disease activity of rheumatoid arthritis,"Every six months plain anterior radiographs of the hands and feet were obtained (Assessments Page 917)

*follow-up involved",Y,Direct,In-person,"At the time of analysis
113 patients participated in the study and the
follow up ranged from two to 39 months
(number of check ups 1816).",Y,Direct,,,Looks good
2194,Simple Disease Activity Index (SDAI) for Rheumatoid Arthritis,"RA Severity, clinical data only.",1,identify activity index for rheumatoid arthritis,"comparing the SDAI with survey results obtained from rheumatologists' evaluations of disease activity in test cases (Page 244 Abstract - Methods)

*survey from providers
*follow-up involved",Y,Direct,In-person,"As a further test of the SDAI validity, the change in total
Sharp score at 6 and 12 months’ treatment for all patients in
the three trials was determined for those who met either major,",Y,Direct,,,Looks good
2199,Disease Steps for Multiple Sclerosis,"MS progression, based on ambulation.",1,evaluate disease progression in multiple sclerosis,"Change was defined to be either improvement or worsening according to the criteria in the Methods above. For these analyses, the starting time for each patient was taken to be the time of first worsening observed during the first year of follow up. (Page 350 - Statistical Methods)

*Patients were examined by one of nine neurologists. Patients were included if they had a diagnosis of probable or definite MS16 and at least two assessments performed on separate occasions, usually by the same neurologist. Simultaneous classifications of Disease Steps and EDSS were performed for each patient. Follow-up visits were typically scheduled every 6 months although some patients were seen more or less often depending on their need. (Page 350 - Materials and Methods)",Y,Direct,In-person,"Follow-up visits were
typically scheduled every 6 months although some
patients were seen more or less often depending on
their need.",Y,Direct,,,"Should add some details here: Patients were examined by one of nine neurologists. Patients were included if they had a diagnosis of probable or definite MS16 and at least two assessments performed on separate occasions, usually by the same neurologist. Simulta- neous classifications of Disease Steps and EDSS were performed for each patient. Follow-up visits were typically scheduled every 6 months although some patients were seen more or less often depending on their need."
2200,Fibrosis-4 (FIB-4) Index for Liver Fibrosis,Noninvasive estimate of liver fibrosis.,1,significant fibrosis in patients with HIV/HCV connection,"Liver histology was determined via Ishak score40 as assessed by local pathologists (from 95 centers in 19 countries). (Page 1318 - Methods)
*follow-up involved",Y,Indirect,in-person,,,,Y,Indirect,
2201,Veterans Aging Cohort Study (VACS) 1.0 Index,All-cause mortality for patients with HIV or HCV.,1,mortality after 1 year of antiretroviral therapy,"5-year, all-cause mortality from 1 year after initiation of ART. Observation time ended at the earlier of death, the date of last follow-up, or 6 years after ART initiation.",Y,Indirect,database,collaboration databases,,,Y,Indirect,
2202,CKD Prediction in HIV+ Patients,5 year likelihood of CKD in HIV.,1,tenofovir safety for chronic kidney disease,"The primary study outcome was time to first occurrence of eGFR less than 60 ml/min per 1.73 m2. eGFR was calculated using the Chronic Kidney Disease Epidemiol- ogy Collaboration (CKD-EPI) formula based on age, sex, race and serum creatinine. CKD was defined by two consecutive estimates of GFR less than 60 ml/min per 1.73 m2 , wherein consecutive estimates were required to be at least 3 months apart and not obtained during inpatient admissions. (Page 1290 - Outcome)

*follow-up involved",Y,Indirect,database,VA HIV clinical case registry (Source 10),,,Y,Indirect,
2320,Follicular Lymphoma International Prognostic Index (FLIPI),Overall survival from FL.,1,prognosis of follicular lymphoma,"Follow-up until death, or for at least 5 years for surviving patients (Page 1259 - Patients)",Y,Indirect,database,analyzed data from 1985-1992. FLIPI retrospective study,,,Y,Indirect,
2321,Groupe d'Etude des Lymphomes Folliculaires (GELF) Criteria,Assesses immediate therapy need.,1,evaluate therapeutic options for patients with follicular lymphoma,"All initial sites of the disease were reassessed after 6 and 18 months or when clinically indicated. Complete remission (CR) was defined as the disappearance of all clinical evidence of disease and normalization of radiographic findings and BM biopsy. Partial remission (PR) was defined as a reduction greater than 50% in the largest diameter of all measurable sites of disease. Disease was considered to be stable when tumor regression was less than 50%.( Page 1111 - Determination of Response to Treatment and Progression)

*follow-up",Y,Direct,in-person,All initial sites of the disease were reassessed after 6 and 18 months or when clinically indicated,,,Y,Direct,
2693,"MELD Score (Original, Pre-2016, Model for End-Stage Liver Disease)",Liver transplant planning.,1,survival in patients with end-stage liver disease,"3- month survival (Page 465 - What Criteria determine the validity of the model?)

Patient survival was assessed as the interval from the day of hospitalization until death or last follow-up.",Y,Indirect,database,"All cirrhotic patients 18 years or older, hospitalized at the Mayo Clinic between January 1994 and January 1999 were identified using a computerized diagnostic index. Individual hospital records were reviewed to verify the diagnosis of cirrhosis and extract information including patient demographic data, liver disease diagnosis, portal hypertensive complications, and laboratory data.",,,Y,Indirect,
3007,Mekhail Extension of the Motzer Score,Metastatic RCC survival.,1,survival in patients with previously untreated metastatic renal cell carcinoma,Survival was defined as the time from initiation of treatment to the date of death or last follow-up (Page 833 - Patients and Methods),Y,Indirect,database,Data were collected on 353 previously untreated metastatic RCC patients enrolled onto clinical trials between 1987 and 2002.,,,Y,Indirect,
3008,IMDC (International Metastatic RCC Database Consortium) Risk Model for Metastatic Renal Cell Carcinoma,Metastatic RCC survival.,1,survival in patients with metastatic renal cell carcinoma,"Follow-up data has been updated significantly to allow for analysis of overall survival (OS; ie, different end point) (Page 5795 - Methods - Patient Population)",Y,Indirect,database,"patient data collected from different institutes

Baseline demographic, clinical and laboratory data including those previously found to have prognostic value13-16 were collected retrospectively on all patients by using uniform database templates to ensure consistent data collection.",,,Y,Indirect,
3009,UCLA Integrated Staging System (UISS) for Renal Cell Carcinoma (RCC),5 year prognosis for RCC.,1,predict natural history of patients with surgically resected renal cell carcinoma,Survival end point was date of death or date of last follow-up (Page 4560 - Metastatic Patients),Y,Indirect,database (prospective cohort study?),"A prospective cohort study was performed with outcome assessment on the basis of chart review of 814 patients who underwent nephrectomy be· tween 1989 and 2000.

Between 1989 and 2000, 892 patients underwent nephrectomy for unilateral RCC at the UCLA Medical Center. Seventy-eight patients were excluded from the study because of either loss to follow-up",,,Y,Indirect,
3012,Fuhrman Nuclear Grade for Clear Cell Renal Carcinoma,Prognose RCC based on cellular appearance.,1,prognosis from morphologic parameters in renal cell carcinoma,"Material from 85 patients who had either completed a minimum 5-year period of follow-up or died with well-documented evidence of their disease status through biopsy or autopsy was used in analyses involving metastatic potential. (Page 656 - Materials and Methods0

*follow-up involved",Y,Indirect,database,see outcome measure column,,,Y,Indirect,
3121,Infective Endocarditis (IE) Mortality Risk Score,6-month Mortality from Infective Endocarditis.,1,3121 - mortality in infective endocarditis,"6 month mortality (Page 4 - Model Derivation)

*follow-up involved",Y,Indirect,database,ICE-PCS registry - 64 centers in 28 countries,,,Y,Indirect,
