index,ref_authors_full,ref_authors_affils,pred,gt,query
226,Philip Wells,"Thrombosis Program, Division of Hematology, Department of Medicine, University of Ottawa, Ottawa, Ont. mrodger@ohri.ca",M,M,"https://www.google.com/search?q=Philip+Wells+.homepage.Thrombosis+Program,+Division+of+Hematology,+Department+of+Medicine,+University+of+Ottawa,+Ottawa,+Ont.+mrodger@ohri.ca"
63,Julie Brahmer,"Julie R. Brahmer, Johns Hopkins Kimmel Cancer Center; Jennifer S. Mammen, Johns Hopkins University, Baltimore, MD; Christina Lacchetti, American Society of Clinical Oncology, Alexandria; Alexander Spira, Virginia Cancer Specialists and US Oncology Research, Fairfax, VA; Bryan J. Schneider, University of Michigan Health System, Ann Arbor, MI; Michael B. Atkins, Georgetown Lombardi Comprehensive Cancer Center; Cristina A. Reichner, Georgetown University; Laura D. Porter, Colon Cancer Alliance; Washington, DC; Kelly J. Brassil, Aung Naing, Loretta J. Nastoupil, Maria E. Suarez-Almazor, and Yinghong Wang, MD Anderson Cancer Center, Houston, TX; Jeffrey M. Caterino, The Ohio State University Wexner Medical Center, Columbus, OH; Ian Chau, The Royal Marsden Hospital and Institute of Cancer Research, London and Surrey, United Kingdom; Marc S. Ernstoff and Igor Puzanov, Roswell Park Cancer Institute, Buffalo; Bianca D. Santomasso and Jedd D. Wolchok, Memorial Sloan Kettering Cancer Center; Jeffrey S. Weber, New York University Langone Medical Center, New York, NY; Pamela Ginex, Oncology Nursing Society, Pittsburgh, PA; Jennifer M. Gardner, Seattle Cancer Care Alliance and University of Washington, Seattle, WA; Sigrun Hallmeyer, Oncology Specialists SC, Park Ridge, IL; Jennifer Holter Chakrabarty, University of Oklahoma, Stephenson Cancer Center, Oklahoma City, OK; Natasha B. Leighl, Princess Margaret Cancer Centre, Toronto, Ontario, Canada; David F. McDermott, Beth Israel Deaconess Medical Center; Carole Seigel, Massachusetts General Hospital Cancer Center, Boston, MA; John A. Thompson, Seattle Cancer Care Alliance, University of Washington, and the Fred Hutchinson Cancer Research Center, Seattle, WA; and Tanyanika Phillips, CHRISTUS St Frances Cabrini Cancer Center, Alexandria, LA.",F,F,"https://www.google.com/search?q=Julie+Brahmer+.homepage.Julie+R.+Brahmer,+Johns+Hopkins+Kimmel+Cancer+Center;+Jennifer+S.+Mammen,+Johns+Hopkins+University,+Baltimore,+MD;+Christina+Lacchetti,+American+Society+of+Clinical+Oncology,+Alexandria;+Alexander+Spira,+Virginia+Cancer+Specialists+and+US+Oncology+Research,+Fairfax,+VA;+Bryan+J.+Schneider,+University+of+Michigan+Health+System,+Ann+Arbor,+MI;+Michael+B.+Atkins,+Georgetown+Lombardi+Comprehensive+Cancer+Center;+Cristina+A.+Reichner,+Georgetown+University;+Laura+D.+Porter,+Colon+Cancer+Alliance;+Washington,+DC;+Kelly+J.+Brassil,+Aung+Naing,+Loretta+J.+Nastoupil,+Maria+E.+Suarez-Almazor,+and+Yinghong+Wang,+MD+Anderson+Cancer+Center,+Houston,+TX;+Jeffrey+M.+Caterino,+The+Ohio+State+University+Wexner+Medical+Center,+Columbus,+OH;+Ian+Chau,+The+Royal+Marsden+Hospital+and+Institute+of+Cancer+Research,+London+and+Surrey,+United+Kingdom;+Marc+S.+Ernstoff+and+Igor+Puzanov,+Roswell+Park+Cancer+Institute,+Buffalo;+Bianca+D.+Santomasso+and+Jedd+D.+Wolchok,+Memorial+Sloan+Kettering+Cancer+Center;+Jeffrey+S.+Weber,+New+York+University+Langone+Medical+Center,+New+York,+NY;+Pamela+Ginex,+Oncology+Nursing+Society,+Pittsburgh,+PA;+Jennifer+M.+Gardner,+Seattle+Cancer+Care+Alliance+and+University+of+Washington,+Seattle,+WA;+Sigrun+Hallmeyer,+Oncology+Specialists+SC,+Park+Ridge,+IL;+Jennifer+Holter+Chakrabarty,+University+of+Oklahoma,+Stephenson+Cancer+Center,+Oklahoma+City,+OK;+Natasha+B.+Leighl,+Princess+Margaret+Cancer+Centre,+Toronto,+Ontario,+Canada;+David+F.+McDermott,+Beth+Israel+Deaconess+Medical+Center;+Carole+Seigel,+Massachusetts+General+Hospital+Cancer+Center,+Boston,+MA;+John+A.+Thompson,+Seattle+Cancer+Care+Alliance,+University+of+Washington,+and+the+Fred+Hutchinson+Cancer+Research+Center,+Seattle,+WA;+and+Tanyanika+Phillips,+CHRISTUS+St+Frances+Cabrini+Cancer+Center,+Alexandria,+LA."
174,David Mant,"Primary Care and Population Science, Faculty of Medicine University of Southampton, UK. p.little@soton.ac.uk",M,X,"https://www.google.com/search?q=David+Mant+.homepage.Primary+Care+and+Population+Science,+Faculty+of+Medicine+University+of+Southampton,+UK.+p.little@soton.ac.uk"
194,Niela Pomernacki,"Department of Medicine, University of California, San Francisco, San Francisco, California, USA. mfang@medicine.ucsf.edu",F,X,"https://www.google.com/search?q=Niela+Pomernacki+.homepage.Department+of+Medicine,+University+of+California,+San+Francisco,+San+Francisco,+California,+USA.+mfang@medicine.ucsf.edu"
58,Francis Wilson,"Department of Internal Medicine, Yale University School of Medicine, New Haven, CT; Center for Outcomes Research and Evaluation, Yale New Haven Hospital, New Haven, CT.",M,M,"https://www.google.com/search?q=Francis+Wilson+.homepage.Department+of+Internal+Medicine,+Yale+University+School+of+Medicine,+New+Haven,+CT;+Center+for+Outcomes+Research+and+Evaluation,+Yale+New+Haven+Hospital,+New+Haven,+CT."
106,Amy Ernst,"University of New Mexico Medical Center, Albuquerque, NM 87131-0001, USA. sweiss52@aol.com",F,F,"https://www.google.com/search?q=Amy+Ernst+.homepage.University+of+New+Mexico+Medical+Center,+Albuquerque,+NM+87131-0001,+USA.+sweiss52@aol.com"
71,Samuel Nurko,"Pediatric pain center, Boston Children's Hospital, Boston Ma, USA.",M,M,"https://www.google.com/search?q=Samuel+Nurko+.homepage.Pediatric+pain+center,+Boston+Children's+Hospital,+Boston+Ma,+USA."
62,Natasha Leighl,"Julie R. Brahmer, Johns Hopkins Kimmel Cancer Center; Jennifer S. Mammen, Johns Hopkins University, Baltimore, MD; Christina Lacchetti, American Society of Clinical Oncology, Alexandria; Alexander Spira, Virginia Cancer Specialists and US Oncology Research, Fairfax, VA; Bryan J. Schneider, University of Michigan Health System, Ann Arbor, MI; Michael B. Atkins, Georgetown Lombardi Comprehensive Cancer Center; Cristina A. Reichner, Georgetown University; Laura D. Porter, Colon Cancer Alliance; Washington, DC; Kelly J. Brassil, Aung Naing, Loretta J. Nastoupil, Maria E. Suarez-Almazor, and Yinghong Wang, MD Anderson Cancer Center, Houston, TX; Jeffrey M. Caterino, The Ohio State University Wexner Medical Center, Columbus, OH; Ian Chau, The Royal Marsden Hospital and Institute of Cancer Research, London and Surrey, United Kingdom; Marc S. Ernstoff and Igor Puzanov, Roswell Park Cancer Institute, Buffalo; Bianca D. Santomasso and Jedd D. Wolchok, Memorial Sloan Kettering Cancer Center; Jeffrey S. Weber, New York University Langone Medical Center, New York, NY; Pamela Ginex, Oncology Nursing Society, Pittsburgh, PA; Jennifer M. Gardner, Seattle Cancer Care Alliance and University of Washington, Seattle, WA; Sigrun Hallmeyer, Oncology Specialists SC, Park Ridge, IL; Jennifer Holter Chakrabarty, University of Oklahoma, Stephenson Cancer Center, Oklahoma City, OK; Natasha B. Leighl, Princess Margaret Cancer Centre, Toronto, Ontario, Canada; David F. McDermott, Beth Israel Deaconess Medical Center; Carole Seigel, Massachusetts General Hospital Cancer Center, Boston, MA; John A. Thompson, Seattle Cancer Care Alliance, University of Washington, and the Fred Hutchinson Cancer Research Center, Seattle, WA; and Tanyanika Phillips, CHRISTUS St Frances Cabrini Cancer Center, Alexandria, LA.",F,F,"https://www.google.com/search?q=Natasha+Leighl+.homepage.Julie+R.+Brahmer,+Johns+Hopkins+Kimmel+Cancer+Center;+Jennifer+S.+Mammen,+Johns+Hopkins+University,+Baltimore,+MD;+Christina+Lacchetti,+American+Society+of+Clinical+Oncology,+Alexandria;+Alexander+Spira,+Virginia+Cancer+Specialists+and+US+Oncology+Research,+Fairfax,+VA;+Bryan+J.+Schneider,+University+of+Michigan+Health+System,+Ann+Arbor,+MI;+Michael+B.+Atkins,+Georgetown+Lombardi+Comprehensive+Cancer+Center;+Cristina+A.+Reichner,+Georgetown+University;+Laura+D.+Porter,+Colon+Cancer+Alliance;+Washington,+DC;+Kelly+J.+Brassil,+Aung+Naing,+Loretta+J.+Nastoupil,+Maria+E.+Suarez-Almazor,+and+Yinghong+Wang,+MD+Anderson+Cancer+Center,+Houston,+TX;+Jeffrey+M.+Caterino,+The+Ohio+State+University+Wexner+Medical+Center,+Columbus,+OH;+Ian+Chau,+The+Royal+Marsden+Hospital+and+Institute+of+Cancer+Research,+London+and+Surrey,+United+Kingdom;+Marc+S.+Ernstoff+and+Igor+Puzanov,+Roswell+Park+Cancer+Institute,+Buffalo;+Bianca+D.+Santomasso+and+Jedd+D.+Wolchok,+Memorial+Sloan+Kettering+Cancer+Center;+Jeffrey+S.+Weber,+New+York+University+Langone+Medical+Center,+New+York,+NY;+Pamela+Ginex,+Oncology+Nursing+Society,+Pittsburgh,+PA;+Jennifer+M.+Gardner,+Seattle+Cancer+Care+Alliance+and+University+of+Washington,+Seattle,+WA;+Sigrun+Hallmeyer,+Oncology+Specialists+SC,+Park+Ridge,+IL;+Jennifer+Holter+Chakrabarty,+University+of+Oklahoma,+Stephenson+Cancer+Center,+Oklahoma+City,+OK;+Natasha+B.+Leighl,+Princess+Margaret+Cancer+Centre,+Toronto,+Ontario,+Canada;+David+F.+McDermott,+Beth+Israel+Deaconess+Medical+Center;+Carole+Seigel,+Massachusetts+General+Hospital+Cancer+Center,+Boston,+MA;+John+A.+Thompson,+Seattle+Cancer+Care+Alliance,+University+of+Washington,+and+the+Fred+Hutchinson+Cancer+Research+Center,+Seattle,+WA;+and+Tanyanika+Phillips,+CHRISTUS+St+Frances+Cabrini+Cancer+Center,+Alexandria,+LA."
94,Steven Teutsch,"Weill Medical College of Cornell University, Columbia University College of Physicians and Surgeons, and FOJP Service Corporation, New York, NY 10065, USA. heb2013@med.cornell.edu",M,M,"https://www.google.com/search?q=Steven+Teutsch+.homepage.Weill+Medical+College+of+Cornell+University,+Columbia+University+College+of+Physicians+and+Surgeons,+and+FOJP+Service+Corporation,+New+York,+NY+10065,+USA.+heb2013@med.cornell.edu"
198,Adria Font,"Department of Anesthesiology, Hospital Universitari Germans Trias i Pujol, Universitat Autònoma de Barcelona, Badalona, Spain. jcanet.germanstrias@gencat.cat",F,X,"https://www.google.com/search?q=Adria+Font+.homepage.Department+of+Anesthesiology,+Hospital+Universitari+Germans+Trias+i+Pujol,+Universitat+Autònoma+de+Barcelona,+Badalona,+Spain.+jcanet.germanstrias@gencat.cat"
24,Pablo Bellot,"Liver Unit, Institut Clínic Malalties Digestives i Metabòliques, Hospital Clinic, and Centro de Investigación Biomédica Esther Koplowitz, Barcelona, Catalonia, Spain.",M,X,"https://www.google.com/search?q=Pablo+Bellot+.homepage.Liver+Unit,+Institut+Clínic+Malalties+Digestives+i+Metabòliques,+Hospital+Clinic,+and+Centro+de+Investigación+Biomédica+Esther+Koplowitz,+Barcelona,+Catalonia,+Spain."
207,Rosario Sánchez,"Respiratory Department , Hospital Ramón y Cajal and Alcalá de Henares University, 28034 Madrid, Spain. djc_69_98@yahoo.com",F,X,"https://www.google.com/search?q=Rosario+Sánchez+.homepage.Respiratory+Department+,+Hospital+Ramón+y+Cajal+and+Alcalá+de+Henares+University,+28034+Madrid,+Spain.+djc_69_98@yahoo.com"
1,Angel Luis Samperiz,"Servicio de Medicina Interna, Hospital de la Princesa, Madrid, Spain.",M,M,"https://www.google.com/search?q=Angel+Luis+Samperiz+.homepage.Servicio+de+Medicina+Interna,+Hospital+de+la+Princesa,+Madrid,+Spain."
164,Amy Justice,"Yale University School of Medicine, West Haven, CT, USA. Janet.Tate2@va.gov",F,F,"https://www.google.com/search?q=Amy+Justice+.homepage.Yale+University+School+of+Medicine,+West+Haven,+CT,+USA.+Janet.Tate2@va.gov"
151,Gary Ford,"Norwich Medical School, Faculty of Medicine and Health Sciences, University of East Anglia, Norwich, Norfolk, UK; Stroke Research Group, Norfolk and Norwich University Hospital, Norwich, Norfolk, UK; Clinical Gerontology Unit, University of Cambridge, Cambridge, Cambridgeshire, UK.",M,M,"https://www.google.com/search?q=Gary+Ford+.homepage.Norwich+Medical+School,+Faculty+of+Medicine+and+Health+Sciences,+University+of+East+Anglia,+Norwich,+Norfolk,+UK;+Stroke+Research+Group,+Norfolk+and+Norwich+University+Hospital,+Norwich,+Norfolk,+UK;+Clinical+Gerontology+Unit,+University+of+Cambridge,+Cambridge,+Cambridgeshire,+UK."
230,Nicole Kuderer,"James P. Wilmot Cancer Center and the Department of Medicine, University of Rochester, NY, USA. alok_khorana@urmc.rochester.edu",F,F,"https://www.google.com/search?q=Nicole+Kuderer+.homepage.James+P.+Wilmot+Cancer+Center+and+the+Department+of+Medicine,+University+of+Rochester,+NY,+USA.+alok_khorana@urmc.rochester.edu"
170,Booker King,"U.S. Army Institute of Surgical Research, Fort Sam Houston, Texas, USA.",M,M,"https://www.google.com/search?q=Booker+King+.homepage.U.S.+Army+Institute+of+Surgical+Research,+Fort+Sam+Houston,+Texas,+USA."
61,Christina Lacchetti,"Julie R. Brahmer, Johns Hopkins Kimmel Cancer Center; Jennifer S. Mammen, Johns Hopkins University, Baltimore, MD; Christina Lacchetti, American Society of Clinical Oncology, Alexandria; Alexander Spira, Virginia Cancer Specialists and US Oncology Research, Fairfax, VA; Bryan J. Schneider, University of Michigan Health System, Ann Arbor, MI; Michael B. Atkins, Georgetown Lombardi Comprehensive Cancer Center; Cristina A. Reichner, Georgetown University; Laura D. Porter, Colon Cancer Alliance; Washington, DC; Kelly J. Brassil, Aung Naing, Loretta J. Nastoupil, Maria E. Suarez-Almazor, and Yinghong Wang, MD Anderson Cancer Center, Houston, TX; Jeffrey M. Caterino, The Ohio State University Wexner Medical Center, Columbus, OH; Ian Chau, The Royal Marsden Hospital and Institute of Cancer Research, London and Surrey, United Kingdom; Marc S. Ernstoff and Igor Puzanov, Roswell Park Cancer Institute, Buffalo; Bianca D. Santomasso and Jedd D. Wolchok, Memorial Sloan Kettering Cancer Center; Jeffrey S. Weber, New York University Langone Medical Center, New York, NY; Pamela Ginex, Oncology Nursing Society, Pittsburgh, PA; Jennifer M. Gardner, Seattle Cancer Care Alliance and University of Washington, Seattle, WA; Sigrun Hallmeyer, Oncology Specialists SC, Park Ridge, IL; Jennifer Holter Chakrabarty, University of Oklahoma, Stephenson Cancer Center, Oklahoma City, OK; Natasha B. Leighl, Princess Margaret Cancer Centre, Toronto, Ontario, Canada; David F. McDermott, Beth Israel Deaconess Medical Center; Carole Seigel, Massachusetts General Hospital Cancer Center, Boston, MA; John A. Thompson, Seattle Cancer Care Alliance, University of Washington, and the Fred Hutchinson Cancer Research Center, Seattle, WA; and Tanyanika Phillips, CHRISTUS St Frances Cabrini Cancer Center, Alexandria, LA.",F,X,"https://www.google.com/search?q=Christina+Lacchetti+.homepage.Julie+R.+Brahmer,+Johns+Hopkins+Kimmel+Cancer+Center;+Jennifer+S.+Mammen,+Johns+Hopkins+University,+Baltimore,+MD;+Christina+Lacchetti,+American+Society+of+Clinical+Oncology,+Alexandria;+Alexander+Spira,+Virginia+Cancer+Specialists+and+US+Oncology+Research,+Fairfax,+VA;+Bryan+J.+Schneider,+University+of+Michigan+Health+System,+Ann+Arbor,+MI;+Michael+B.+Atkins,+Georgetown+Lombardi+Comprehensive+Cancer+Center;+Cristina+A.+Reichner,+Georgetown+University;+Laura+D.+Porter,+Colon+Cancer+Alliance;+Washington,+DC;+Kelly+J.+Brassil,+Aung+Naing,+Loretta+J.+Nastoupil,+Maria+E.+Suarez-Almazor,+and+Yinghong+Wang,+MD+Anderson+Cancer+Center,+Houston,+TX;+Jeffrey+M.+Caterino,+The+Ohio+State+University+Wexner+Medical+Center,+Columbus,+OH;+Ian+Chau,+The+Royal+Marsden+Hospital+and+Institute+of+Cancer+Research,+London+and+Surrey,+United+Kingdom;+Marc+S.+Ernstoff+and+Igor+Puzanov,+Roswell+Park+Cancer+Institute,+Buffalo;+Bianca+D.+Santomasso+and+Jedd+D.+Wolchok,+Memorial+Sloan+Kettering+Cancer+Center;+Jeffrey+S.+Weber,+New+York+University+Langone+Medical+Center,+New+York,+NY;+Pamela+Ginex,+Oncology+Nursing+Society,+Pittsburgh,+PA;+Jennifer+M.+Gardner,+Seattle+Cancer+Care+Alliance+and+University+of+Washington,+Seattle,+WA;+Sigrun+Hallmeyer,+Oncology+Specialists+SC,+Park+Ridge,+IL;+Jennifer+Holter+Chakrabarty,+University+of+Oklahoma,+Stephenson+Cancer+Center,+Oklahoma+City,+OK;+Natasha+B.+Leighl,+Princess+Margaret+Cancer+Centre,+Toronto,+Ontario,+Canada;+David+F.+McDermott,+Beth+Israel+Deaconess+Medical+Center;+Carole+Seigel,+Massachusetts+General+Hospital+Cancer+Center,+Boston,+MA;+John+A.+Thompson,+Seattle+Cancer+Care+Alliance,+University+of+Washington,+and+the+Fred+Hutchinson+Cancer+Research+Center,+Seattle,+WA;+and+Tanyanika+Phillips,+CHRISTUS+St+Frances+Cabrini+Cancer+Center,+Alexandria,+LA."
283,Henrik Højgaard Rasmussen,"Nutrition Unit, Rigshospitalet, Copenhagen, Denmark.",M,X,"https://www.google.com/search?q=Henrik+Højgaard+Rasmussen+.homepage.Nutrition+Unit,+Rigshospitalet,+Copenhagen,+Denmark."
225,Eva Hoster,"Department of Internal Medicine III, University of Munich, Germany.",F,X,"https://www.google.com/search?q=Eva+Hoster+.homepage.Department+of+Internal+Medicine+III,+University+of+Munich,+Germany."
150,Nelson Hamerschlak,"Department of Stem Cell Transplantation and Cellular Therapy, The University of Texas MD Anderson Cancer Center, Houston, Texas.",M,X,"https://www.google.com/search?q=Nelson+Hamerschlak+.homepage.Department+of+Stem+Cell+Transplantation+and+Cellular+Therapy,+The+University+of+Texas+MD+Anderson+Cancer+Center,+Houston,+Texas."
160,Renée Douma,"Julius Center for Health Sciences and Primary Care, University Medical Center Utrecht, PO Box 85500, 3508GA Utrecht, Netherlands.",F,X,"https://www.google.com/search?q=Renée+Douma+.homepage.Julius+Center+for+Health+Sciences+and+Primary+Care,+University+Medical+Center+Utrecht,+PO+Box+85500,+3508GA+Utrecht,+Netherlands."
146,David Pilcher,"1 Australian and New Zealand Intensive Care Research Centre, Department of Epidemiology and Preventive Medicine, School of Public Health, Monash University, Melbourne, Australia.",M,M,"https://www.google.com/search?q=David+Pilcher+.homepage.1+Australian+and+New+Zealand+Intensive+Care+Research+Centre,+Department+of+Epidemiology+and+Preventive+Medicine,+School+of+Public+Health,+Monash+University,+Melbourne,+Australia."
219,Wanling Xie,"FRCPC, Department of Medical Oncology, Tom Baker Cancer Center, University of Calgary, Calgary, Alberta, Canada. daniel.heng@cancerboard.ab.ca",F,F,"https://www.google.com/search?q=Wanling+Xie+.homepage.FRCPC,+Department+of+Medical+Oncology,+Tom+Baker+Cancer+Center,+University+of+Calgary,+Calgary,+Alberta,+Canada.+daniel.heng@cancerboard.ab.ca"
214,Richard Johannes,"Clinical Research Services, Cardinal Health, Marlborough, Massachusetts, USA.",M,X,"https://www.google.com/search?q=Richard+Johannes+.homepage.Clinical+Research+Services,+Cardinal+Health,+Marlborough,+Massachusetts,+USA."
147,Anne Catherine Miller,"Internal Medicine, Icahn School of Medicine at Mount Sinai, New York, NY, USA.",F,X,"https://www.google.com/search?q=Anne+Catherine+Miller+.homepage.Internal+Medicine,+Icahn+School+of+Medicine+at+Mount+Sinai,+New+York,+NY,+USA."
198,Onel Morales,"Department of Anesthesiology, Hospital Universitari Germans Trias i Pujol, Universitat Autònoma de Barcelona, Badalona, Spain. jcanet.germanstrias@gencat.cat",M,X,"https://www.google.com/search?q=Onel+Morales+.homepage.Department+of+Anesthesiology,+Hospital+Universitari+Germans+Trias+i+Pujol,+Universitat+Autònoma+de+Barcelona,+Badalona,+Spain.+jcanet.germanstrias@gencat.cat"
