medium_description_en,url,full_title_en,expert_name,short_title_en,short_description_en,disease_en,system_en,search_abbreviation_en,purpose_en,chief_complaint_en,specialty_en,favorite_id,creators,cmeEnabled,cmeVersion
Frequently used to assess neutropenic fever in chemotherapy patients.,absolute-neutrophil-count-anc,Absolute Neutrophil Count (ANC),"Sagar Patel, MD",Absolute Neutrophil Count,Neutropenia (after chemotherapy).,"['Cancer', 'Chemotherapy']","['Hematologic', 'Immunologic', 'Oncologic']","['cancer', 'fever', 'chemo', 'anc']","['Formula', 'Diagnosis']",Fever,"['Critical Care', 'Emergency Medicine', 'Family Practice', 'Hematology and Oncology', 'Infectious Disease', 'Internal Medicine', 'Palliative Care/Hospice']",19,Dr. Layla A. Al-Gwaiz,True,19.1
"Assesses appropriate response to anemia, frequently in sickle cell patients.",absolute-reticulocyte-count-reticulocyte-index,Absolute Reticulocyte Count & Reticulocyte Index,[],Absolute Reticulocyte Count,Adequacy of marrow response to anemia.,"['Anemia', 'Bleeding/Hemorrhage', 'GI Bleeding', 'Sickle Cell Disease']","['Gastrointestinal', 'Hematologic']","['anemia', 'hgb', 'hct', 'arc', 'arc index', 'Reticulocyte Index', 'rpi', 'Reticulocyte production index']",Formula,"['Bleeding', 'Dizziness', 'Weakness']","['Cardiology', 'Critical Care', 'Emergency Medicine', 'Gastroenterology', 'Hematology and Oncology', 'Hospitalist Medicine', 'Internal Medicine', 'Primary Care']",1667,Poorana Priya,False,
Describes stages of heart failure and provides recommendations for therapy by stage.,acc-aha-heart-failure-staging,ACC/AHA Heart Failure Staging,[],ACC/AHA Heart Failure Staging,Heart failure staging and therapy recommendations.,Heart Failure,Cardiac,"['ACC/AHA Heart Failure Staging tool', 'heart failure staging tool', 'heart failure stages', 'hf stages']",Prognosis,"['Chest Pain', 'Extremity Edema', 'Shortness of Breath']",Cardiology,3826,Dr. Sharon Hunt,False,
"<span id=""docs-internal-guid-0a6719ae-0105-a4b7-0af5-0507b8d53096"">Predicts 30-day mortality after elective or emergency cardiac surgery.",acef-ii-risk-score-cardiac-surgery,ACEF II Risk Score for Cardiac Surgery,[],ACEF II Risk Score,Cardiac surgery mortality.,"['Acute Coronary Syndrome', 'CHF', 'Endocarditis', 'Heart Failure', 'Myocardial Infarction']",Cardiac,"['ACEF II risk score', 'acef 2', 'acef score', 'cardiac surgery risk score', 'ACEF risk score', 'ACEF']",Prognosis,Chest Pain,"['Cardiology', 'Critical Care', 'Emergency Medicine', 'Internal Medicine', 'Hospitalist Medicine', 'Family Practice', 'Primary Care', 'Surgery (Cardiothoracic)']",10075,Dr. Marco Ranucci,False,
"Emergency department classification and management tool for adult patients (greater than 18 years old) with suspected or confirmed SARS-CoV-2 (v2.0, updated January 13, 2022).",acep-ed-covid-19-management-tool,ACEP ED COVID-19 Management Tool,"['Peter Steel, MD', 'Brian Fengler, MD', 'Christopher R. Carpenter, MD, MSc, FACEP, AGSF', 'Stephen Cantrill, MD, FACEP', 'Sandy Schneider, MD, FACEP']",ACEP ED COVID-19 Management Tool,ED management tool for COVID-19.,"['COVID-19', 'Coronavirus']",Respiratory,"ACEP ED COVID-19 Management Tool, ACEP","['Algorithm', 'Diagnosis', 'Prognosis', 'Treatment']","['Cough', 'Dyspnea', 'Fever']","['Critical Care', 'Emergency Medicine', 'Hospitalist Medicine', 'Infectious Disease', 'Internal Medicine', 'Pulmonology']",10373,ACEP,True,
Calculates PO/IV NAC dosing for acetaminophen overdose (and nomogram to determine toxic 4 hour level).,acetaminophen-overdose-nac-dosing,Acetaminophen Overdose and NAC Dosing,"Scott Lucyk, MD",NAC Dosing (Tylenol OD),NAC Dosing for acetaminophen OD.,"['Hepatitis', 'Ingestion/Overdose']",Gastrointestinal,"['tylenol', 'mucomyst', 'apap', 'acetaminophen', 'rumack-matthew nomogram', 'rumack', 'rumack matthew', 'rumack matthew nomogram']","['Diagnosis', 'Treatment']","['Abdominal Pain', 'Jaundice']","['Critical Care', 'Emergency Medicine', 'Family Practice', 'Gastroenterology', 'Hepatology', 'Hospitalist Medicine', 'Internal Medicine', 'Pediatrics', 'Pharmacy', 'Primary Care', 'Toxicology']",568,Dr. Barry H. Rumack,True,
"<span id=""docs-internal-guid-39fe9749-7fff-380b-a5a4-cde2cd3047c4"">Diagnoses rheumatoid arthritis (RA) in patients with undifferentiated inflammatory synovitis.",acr-eular-2010-rheumatoid-arthritis-classification-criteria,ACR/EULAR 2010 Rheumatoid Arthritis Classification Criteria,[],ACR/EULAR Criteria for Rheumatoid Arthritis,RA diagnosis.,Rheumatoid Arthritis,"['Rheumatologic', 'Musculoskeletal']","['synovitis', 'RA', 'undifferentiated arthritis', 'acr eular']",Diagnosis,"['Chronic Pain', 'Joint Pain', 'Extremity Pain', 'Pain']","['Rheumatology', 'Orthopedics', 'Hospitalist Medicine', 'Internal Medicine']",10092,Dr. Daniel Aletaha,False,
Provides formal diagnostic criteria for gout.,acr-eular-gout-classification-criteria,ACR/EULAR Gout Classification Criteria,[],ACR/EULAR Gout Criteria,Gout diagnostic criteria.,Gout,Rheumatologic,"['acr', 'eular', 'gout', 'dx', 'diagnosis', 'classification', 'urate', 'tophus', 'bursa', 'ACR-EULAR', 'ACR/EULAR', 'ACREULAR']",Diagnosis,Joint Pain,"['Emergency Medicine', 'Family Practice', 'Internal Medicine', 'Orthopedics', 'Primary Care', 'Rheumatology']",2195,Dr. Tuhina Neogi,False,
"<span id=""docs-internal-guid-8d89269d-bcb7-f6d1-c8ac-540878579c2a"">Predicts risk of NSTEMI complications requiring ICU care.",action-icu-score-intensive-care-nstemi,ACTION ICU Score for Intensive Care in NSTEMI,"Christopher Tainter, MD, RDMS",ACTION ICU Score,Critical NSTEMI complications.,"['Acute Coronary Syndrome', 'Myocardial Infarction']",Cardiac,"['ICU risk score', 'stemi', 'nstemi complications', 'mortality risk score']",Prognosis,"['Chest Pain', 'Shortness of Breath']","['Cardiology', 'Critical Care', 'Family Practice', 'Internal Medicine']",10020,Dr. Alexander C. Fanaroff,True,10020.1
Predicts in-hospital mortality in patients with heart failure (HF).,acute-decompensated-heart-failure-national-registry-adhere-algorithm,Acute Decompensated Heart Failure National Registry (ADHERE) Algorithm,"Chetana Pendkar, MBBS",ADHERE Algorithm,Predicts in-hospital mortality in acute decompensated HF.,Heart Failure,Cardiac,"['Hf', 'adhf']",Prognosis,"['Chest Pain', 'Extremity Edema', 'Shortness of Breath']","['Cardiology', 'Critical Care', 'Geriatrics', 'Hospitalist Medicine', 'Internal Medicine', 'Pulmonology']",3828,Dr. Gregg Fonarow,True,3828.1
Risk stratifies for gout vs non-gout arthritis and helps determine which patients benefit most from joint aspiration.,acute-gout-diagnosis-rule,Acute Gout Diagnosis Rule,[],Acute Gout Diagnosis Rule,Risk for gout.,Gout,"['Musculoskeletal', 'Rheumatologic']","['gout', 'arthritis', 'septic joint', 'fluid', 'aspiration', 'mtp', 'janssen', 'jansen']",Diagnosis,Joint Pain,"['Emergency Medicine', 'Family Practice', 'Internal Medicine', 'Orthopedics', 'Primary Care', 'Rheumatology']",2175,Dr. Hein Janssens,False,
Assesses chest pain patients at 2 hours for risk of cardiac event.,adapt-protocol-cardiac-event-risk,ADAPT Protocol for Cardiac Event Risk,"Graham Walker, MD",ADAPT Protocol,2-hour rule out for low risk chest pain.,"['Acute Coronary Syndrome', 'Myocardial Infarction']",Cardiac,"['acs', 'troponin', 'cp', 'chest pain']","['Algorithm', 'Prognosis', 'Rule Out']",Chest Pain,"['Cardiology', 'Emergency Medicine', 'Hospitalist Medicine', 'Internal Medicine']",1857,Dr. Martin Than,True,1857.1
Diagnoses adult <abbr title='Attention Deficit-Hyperactivity Disorder'>ADHD</abbr>.,adult-self-report-scale-asrs-adhd,Adult Self-Report Scale (ASRS v1.1) for ADHD,"Ferda Sakman, MD",Adult Self-Report Scale (ASRS),Diagnoses adult ADHD.,ADHD,Psychiatric,"['add', 'adhd']",Diagnosis,Anxious,"['Family Practice', 'Internal Medicine', 'Primary Care', 'Psychiatry']",1730,Dr. Lenard Adler,True,1730.1
Adjusts D-dimer cutoffs by age to help rule out VTE.,age-adjusted-d-dimer-venous-thromboembolism-vte,Age-Adjusted D-dimer for Venous Thromboembolism (VTE),"Indira Gowda, MD",Age-Adjusted D-dimer,Rules out VTE.,"['Deep Venous Thrombosis', 'Myocardial Infarction', 'Pulmonary Embolism', 'VTE']",Vascular,"['age-adjusted d-dimer', 'D-dimer for VTE', 'VTE', 'age-adjusted for VTE', 'PE', 'acute PE', 'pulmonary embolism', 'dvt', 'MI', 'ddimer', 'd dimer', 'age adjusted d-dimer', 'age adjusted d dimer', 'age adjusted for VTE', 'age-adjusted d dimer']","['Diagnosis', 'Rule Out']","['Dyspnea', 'Extremity Edema', 'Shortness of Breath']","['Cardiology', 'Critical Care', 'Emergency Medicine', 'Family Practice', 'Geriatrics', 'Hospitalist Medicine', 'Primary Care', 'Pulmonology', 'Surgery (Vascular)']",10138,Dr. Marc P. Righini,True,10138.1
"<span id=""docs-internal-guid-86e0fad3-6219-da53-5968-383032692b47"">Calculates age-adjusted ESR and CRP in adult patients with rheumatoid arthritis.",age-adjusted-esr-crp-rheumatoid-arthritis,Age-Adjusted ESR/CRP for Rheumatoid Arthritis,[],Age-Adjusted ESR/CRP for RA,Adjusted ESR/CRP calculation.,Rheumatoid Arthritis,"['Musculoskeletal', 'Rheumatologic']","['Erythrocyte sedimentation rate', 'c-reactive protein values', 'ESR', 'CRP', 'age adjustment', 'age-adjustment', 'rheumatoid arthritis']",Formula,"['Joint Pain', 'Pain']","['Rheumatology', 'Orthopedics', 'Internal Medicine', 'Primary Care', 'Family Practice']",10049,Dr. Veena K. Ranganath,False,
Determines risk of in-hospital mortality from upper GI bleeding.,aims65-score-upper-gi-bleeding-mortality,AIMS65 Score for Upper GI Bleeding Mortality,"John Vizuete, MD, MPH",AIMS65,Determines in-hospital mortality from upper GI bleeding.,"['Bleeding/Hemorrhage', 'GI Bleeding']",Gastrointestinal,"['Aims', 'aims score', 'aims65', 'aims scale', 'aims bleeding risk', 'upper GI bleeding risk', 'aims gi bleed']",Prognosis,"['Blood in Stool', 'Hematemesis', 'Mass', 'Weakness']","['Critical Care', 'Gastroenterology']",3801,Dr. John Saltzman,True,3801.1
"Classifies severity of acute kidney injury, similar to RIFLE Criteria.",akin-classification-acute-kidney-injury-aki,AKIN Classification for Acute Kidney Injury (AKI),[],AKIN Classification,Acute kidney injury classification. ,"['Acute Kidney Injury', 'Renal Failure']",Renal,"['acute renal failure', 'AKI', 'RIFLE', 'AKIN', 'renal failure', 'AKI score']",Diagnosis,"['Oliguria', 'Anuria']","['Nephrology', 'Internal Medicine', 'Family Practice', 'Primary Care', 'Hospitalist Medicine', 'Critical Care']",10018,Dr. Ravindra L. Mehta,False,
Determines MCA stroke severity using available CT data.,alberta-stroke-program-early-ct-score-aspects,Alberta Stroke Program Early CT Score (ASPECTS),"Daniel Runde, MD",ASPECT Score,MCA stroke severity using CT data.,Stroke/TIA,Neurologic,"['CT', 'stroke', 'ischemic', 'prognosis']",Prognosis,"['Dizziness', 'Headache', 'Weakness']","['Critical Care (Neurologic)', 'Emergency Medicine', 'Internal Medicine', 'Neurology', 'Neurosurgery', 'Radiology']",3164,Dr. Phillip A. Barber,True,
"<span id=""docs-internal-guid-7b66b5af-facb-4f1a-50cb-ad20b021bca4"">Predicts survival in HCC patients.",albi-albumin-bilirubin-grade-hepatocellular-carcinoma-hcc,ALBI (Albumin-Bilirubin) Grade for Hepatocellular Carcinoma (HCC),[],ALBI Grade for HCC,HCC survival.,Hepatocellular Carcinoma,"['Oncologic', 'Gastrointestinal']",Albi score,Prognosis,"['Jaundice', 'Abdominal Pain']","['Hepatology', 'Hematology and Oncology', 'Hospitalist Medicine', 'Internal Medicine', 'Gastroenterology']",10070,Dr. Philip J. Johnson,False,
Predicts likelihood of lower extremity cellulitis over other diagnoses.,alt-70-score-cellulitis,ALT-70 Score for Cellulitis,"Misha Rosenbach, MD",ALT-70 Score,Lower extremity cellulitis diagnosis.,Cellulitis/Abscess,Dermatologic,"['cellulitis score', 'Alt 70']",Prognosis,"['Extremity Edema', 'Extremity Pain']","['Dermatology', 'Family Practice', 'Internal Medicine']",3998,"['Dr. Adam B. Raff', 'Dr. Arash Mostaghimi', 'Dr. Qing Yu Christina Weng']",True,3998.1
Rules out PE if no criteria are present; includes SaO2 adjustment for altitude.,altitude-adjusted-perc-rule,Altitude-Adjusted PERC Rule,"['Benjamin Slovis, MD', 'Stephen Jenkins, MD']",Altitude-Adjusted PERC Rule,Rules out PE (altitude-adjusted),"['Deep Venous Thrombosis', 'Pulmonary Embolism']","['Cardiac', 'Hematologic', 'Oncologic', 'Respiratory']","['pe', 'pulmonary embolism', 'dvt', 'PERC-Altitude Rule for Pulmonary Embolism', 'perc rule', 'perc', 'perc altitude', 'altitude-adjusted perc', 'altitude adjusted perc']","['Diagnosis', 'Rule Out']","['Chest Pain', 'Cough', 'Shortness of Breath']","['Cardiology', 'Critical Care', 'Emergency Medicine', 'Family Practice', 'Hematology and Oncology', 'Hospitalist Medicine', 'Internal Medicine', 'Primary Care', 'Pulmonology', 'Surgery (General)']",10343,"['Dr. Jeffrey Kline', 'Dr. Stephen J. Wolf']",True,
Predicts likelihood of appendicitis diagnosis.,alvarado-score-acute-appendicitis,Alvarado Score for Acute Appendicitis,"['Ayomide Loye, MD', 'Xiao Chi Zhang, MD, MS']",Alvarado Score,Appendicitis diagnosis.,Appendicitis,Gastrointestinal,"['appy', 'mantrels']",Diagnosis,"['Abdominal Pain', 'Fever', 'Vomiting']","['Emergency Medicine', 'Pediatrics', 'Surgery (General)']",617,Dr. Alfredo Alvarado,True,617.1
Predicts risk of undiagnosed diabetes to determine who should be screened.,american-diabetes-association-ada-risk-calculator,American Diabetes Association (ADA) Risk Calculator,[],ADA Diabetes Risk Calculator,T2DM risk.,Diabetes Mellitus,Endocrine and Metabolic,"['ADA', 't2dm', 'dm', 'ada diabetes']",Diagnosis,"['Polyuria', 'Vomiting', 'Weakness']","['Endocrinology', 'Family Practice', 'Internal Medicine']",4020,Dr. Heejung Bang,False,
Evaluates states of metabolic acidosis.,anion-gap,Anion Gap,[],Anion Gap,Evaluates states of metabolic acidosis.,"['Acid-Base Disturbance', 'Diabetes Mellitus', 'Ingestion/Overdose', 'Renal Failure', 'Sepsis']","['Endocrine and Metabolic', 'Renal']","['acidosis', 'ph']","['Formula', 'Diagnosis']","['AMS', 'Shortness of Breath', 'Vomiting']","['Critical Care', 'Emergency Medicine', 'Endocrinology', 'Hospitalist Medicine', 'Internal Medicine', 'Nephrology', 'Toxicology']",1669,Dr. Man S. Oh,False,
"<span id=""docs-internal-guid-e1d21e46-4857-c7ef-80f1-50b95f726f1a"">Stratifies severity of ankylosing spondylitis (AS) using clinical and laboratory data, specifically CRP.",ankylosing-spondylitis-disease-activity-score-crp-asdas-crp,Ankylosing Spondylitis Disease Activity Score with CRP (ASDAS-CRP),[],ASDAS-CRP for Ankylosing Spondylitis,AS severity based on CRP.  ,Rheumatoid Arthritis,"['Musculoskeletal', 'Rheumatologic']","['Ankylosing spondylitis', 'disease activity score', 'AS', 'ASDAS', 'CRP', 'disease activity index']",Diagnosis,"['Joint Pain', 'Pain']","['Rheumatology', 'Orthopedics']",10047,Dr. Cédric Lukas,False,
"<span id=""docs-internal-guid-0cc0b060-628d-851d-1f65-10609e42a29b"">Stratifies severity of ankylosing spondylitis (AS) using clinical and laboratory data, specifically ESR.",ankylosing-spondylitis-disease-activity-score-esr-asdas-esr,Ankylosing Spondylitis Disease Activity Score with ESR (ASDAS-ESR),[],ASDAS-ESR for Ankylosing Spondylitis,AS severity based on ESR.,Rheumatoid Arthritis,"['Musculoskeletal', 'Rheumatologic']","['Ankylosing spondylitis', 'disease activity score', 'AS', 'ASDAS', 'ESR', 'disease activity index']",Diagnosis,"['Joint Pain', 'Pain']","['Rheumatology', 'Orthopedics']",10050,Dr. Cédric Lukas,False,
"Doses antivenom (CroFab only, not Anavip) for pit viper snakebites.",antivenom-dosing-algorithm,Antivenom Dosing Algorithm,"Stephen A. Harding, MD",Antivenom Dosing Algorithm,Antivenom for snake bites.,Ingestion/Overdose,Any/All,"['Antivenom', 'ASV', 'snake bite', 'envenomation', 'venom', 'Crotalidae Polyvalent Immune Fab', 'snakebite', 'crotalid']",Algorithm,Intoxication/Overdose,"['Emergency Medicine', 'Family Practice', 'Hospitalist Medicine', 'Internal Medicine', 'Pharmacy', 'Toxicology']",4046,Dr. Eric J. Lavonas,True,
Rules out aortic dissection.,aortic-dissection-detection-risk-score-add-rs,Aortic Dissection Detection Risk Score (ADD-RS),"Seth Crockford, MD",ADD-RS,Rules out aortic dissection.,Acute Coronary Syndrome,Cardiac,"['Aortic dissection', 'dissection', 'acute aortic syndrome', 'advised']","['Diagnosis', 'Rule Out']","['Abdominal Pain', 'Chest Pain', 'Dyspnea', 'Shortness of Breath']","['Emergency Medicine', 'Surgery (Cardiothoracic)', 'Surgery (Vascular)']",4060,Dr. Peiman Nazerian,True,4060.1
Estimates ICU mortality.,apache-ii-score,APACHE II Score,"Kamal Medlej, MD",APACHE II Score,Estimates ICU mortality.,"['Diabetes Mellitus', 'HIV/AIDS', 'Renal Failure', 'Sepsis', 'COVID-19', 'Coronavirus']",Infectious,"['sepsis', 'covid', 'covid 19', 'covid-19', 'covid19', 'coronavirus']",Prognosis,Fever,"['Critical Care', 'Emergency Medicine', 'Hospitalist Medicine', 'Internal Medicine', 'Surgery (General)']",1868,Dr. William Knaus,True,1868.1
"<span id=""docs-internal-guid-d5a689a2-7fff-106e-bd7e-717e4a440167"">Predicts risk of postoperative nausea and vomiting (PONV).",apfel-score-postoperative-nausea-vomiting,Apfel Score for Postoperative Nausea and Vomiting,[],Apfel Score,Postoperative nausea and vomiting.,[],Any/All,"['anesthesia risk', 'Ponv', 'postop nausea', 'postop vomiting']",Prognosis,"['Vomiting', 'Nausea']","['Surgery (General)', 'Surgery (Cardiothoracic)', 'Surgery (Plastic)', 'Surgery (Vascular)', 'Anesthesiology', 'Internal Medicine', 'Hospitalist Medicine', 'Oral and Maxillofacial Surgery']",10104,Dr. Christian C. Apfel,False,
